word,frequency
Ojas,61
vrddhi,13
hatredness,3
Dosas,16
pancamahabhuta,2
Ul,26
nf,5
Vdld,2
CI,9
Trividha,5
yy,5
vi,22
Dosottha,3
vyadhi,30
Karmaja,2
III,21
Pancavidha,8
nitta,4
Pacaka,8
Dwividha,4
Ranjaka,9
Swatantra,3
paratantra,4
Sadhaka,6
Dasavidha,8
Alocaka,6
il,36
Avalambaka,4
slesma,22
combi,2
Kledaka,6
IU,8
lj,2
Jl,4
Iv,2
thp,8
Tridosa,8
Caya,10
Prasamana,5
Ll,9
Disorders,14
Directions,5
IV,45
iV,2
stages,22
kostha,58
rogamarga,24
pathways,6
sthanika,3
Bahya,20
sthanagata,3
Abhyantara,19
tiryaggata,6
sama,13
nirama,9
Abhakta,4
Pragbhakta,3
Madhy,2
abhakta,4
Adhobhakta,3
Sabhakta,2
Anantara,2
Samudga,5
Muhurmuhu,2
Sagrasa,4
Grasantara,6
Dwividhopakramaniya,3
Kinds,4
Therapies,9
Brmhana,18
Langhana,14
Sadupakrama,6
langhana,18
Shodhana,39
Shamana,42
therapies,44
indicated,172
conditions,122
Vyosadi,2
Karsya,4
sthoulya,5
reasons,20
sthula,9
krsa,7
brmhana,14
Sodhanadigana,16
Drugs,75
Chardana,4
Virechana,24
Niruha,16
enemata,35
Sirovirecana,3
stration,3
Vatahara,12
Pittahara,9
Kaphahara,7
invigorators,2
Vidaryadi,3
Sarivadi,4
Padmakadi,8
Parusakadi,3
Anjanadi,3
Patoladi,5
Guducyadi,4
Aragwadhadi,5
Asanadi,3
Varunadi,4
Usakadi,3
Virataradi,2
Rodhradi,5
Arkadi,5
Surasadi,7
Muskakadi,2
Vatsakadi,4
Vaca,15
Priyarigu,2
ambasthadi,3
Mustadi,4
Nyagrodhadi,5
Eladi,6
Syamadi,2
Vidhi,91
Oleation,7
oleating,47
oleation,98
vicarana,6
Hraswa,6
Uttama,9
sneha,80
snehapana,12
Pascat,12
Snehapana,9
Jirna,3
Sadyo,3
recipes,15
Swedana,23
Upanaha,11
Usma,9
Pariseka,7
Avagaha,4
usma,8
Samstara,2
Nadi,22
Ghanasma,3
Kupa,7
Kuti,5
Jentaka,5
sthambhana,5
xxii,3
Virecana,13
emetics,24
purgatives,51
contraindications,17
bouts,26
Samsarjana,4
vilepi,6
parimana,8
peyadi,7
mandagni,5
krura,10
vasti,361
ruksa,51
Benefits,10
Basti,41
Medicated,8
Enemata,3
Asthapana,9
asthapana,48
anuvasana,49
yantra,183
Vastinetra,5
vastinetra,10
putaka,8
Anuvasana,21
expelled,22
kalpana,34
authorities,37
mixing,34
vastidana,4
steps,17
pratyagama,5
niruha,36
Samyak,12
Tridosahara,3
Vastis,5
netra,27
uttara,16
males,6
females,9
siravedhana,25
Brrhhana,11
brrhhana,9
samana,35
dhmana,3
murccha,5
prayoga,10
snigdha,67
cient,2
Pratimarsa,8
indications,42
pratimarsa,18
conducting,28
marsa,6
anutaila,6
xxiv,2
Adhvava,2
Fumes,3
prayojana,4
dhumapana,77
Dhumanetra,4
Snaihika,5
Prayogika,5
Tiksna,31
Dhuma,6
madhyama,18
tiksna,52
dhumavarti,7
Kasaghna,6
dhuma,21
Vrana,27
ulcers,95
Gargles,7
Others,11
Snigdha,24
Ropana,10
liquids,21
Pravara,7
Hina,10
Pratisarana,4
Mukhalepa,8
mukhalepa,18
Murdha,6
sirahseka,3
Sirovasti,7
sirovasti,7
Karnapurana,3
murdha,14
Ascotananjana,5
ascotana,16
Lekhananjana,4
Ropananjana,4
Prasadananjana,4
Praty,2
Gharsanasila,2
tiksnanjana,5
metals,25
eyes,264
Putapaka,17
Satiating,3
Aksi,9
tarpana,31
Snehana,21
Lekhana,16
Prasadana,6
Parihara,5
Instruments,13
salya,62
Sandarhsa,2
Mucuti,5
mucundi,2
Kantha,5
darsana,13
nadi,16
Pancamukha,4
trimukha,2
Salya,18
nirghatani,2
Arsa,2
Bhagandra,9
Ghrana,4
arso,6
arbuda,16
Ariguli,2
tranaka,5
Yoni,11
vrana,24
Udakodara,5
Alabu,14
Ghati,4
Salaka,7
Gandupada,3
mukha,19
Masuradala,3
Garbha,9
Sarpaphanamukhi,3
patana,8
Pramarjani,2
salaka,27
Karna,8
Jambavoustha,3
Anu,12
karikamukha,2
Mandalagra,6
sastra,146
Vrddhipatra,5
Utpalapatra,5
adhyardhadhara,2
Sarpavaktra,5
Esani,5
Sararimukha,4
trikurcaka,4
Kusapatra,5
atamukha,2
Antarmukha,6
Vrihimukha,5
Kutharika,7
Tamra,8
Badisa,6
Karapatra,5
Nakha,14
Dantalekhana,6
Kurca,5
Karnapali,4
vyadhana,7
defects,79
grahana,5
kosa,4
tempering,3
Jaloukavacarana,3
leaches,31
Leaches,6
alabu,13
ghati,7
srnga,6
Srrigavacarana,3
Pracchana,10
caused,378
Upanasika,3
Jihwa,2
Griva,2
Bahu,4
mehana,2
differs,6
Siravedhana,7
required,32
xxvii,2
Bodies,3
Salyagati,2
Snayugata,2
Siragata,2
Srotogata,2
Dhamanigata,3
Asthi,17
sandhigata,4
Kosthagata,2
marmagata,2
laksanas,4
muscles,45
joints,132
bones,125
veins,67
arteries,16
channels,152
tendons,29
points,30
bodies,90
Methods,7
hammered,5
sira,9
snayugata,3
hrdayagata,3
asthigata,4
pakwasayagata,2
kantha,4
srotogata,3
jatusa,2
kanthagata,3
drowning,8
ears,76
insects,30
Steps,3
instructions,16
Sopha,7
sopha,65
pacyamana,9
pakwa,11
tridosas,46
Raktapaka,3
Darana,6
contraindicated,40
xxviii,2
Pre,10
qualities,129
areas,22
herbs,67
Vranopacara,2
arises,18
apakwa,2
Suturing,12
suturing,43
sutures,6
Bandaging,5
bandages,22
bandha,42
Pratoli,4
Muttoli,5
Cina,6
Anuvellita,6
Khatwa,2
Vibandha,8
Sthagika,8
Vitana,7
Gosphana,5
Yamaka,8
Pancarigi,2
bandaged,25
applying,46
Worms,3
Agnikarma,14
Alkalies,3
alkalies,47
ksara,59
parimarjana,17
Ksarapaka,2
bahya,8
ksarapaka,9
Mrdu,16
potenciating,2
arsas,43
Vartmaroga,4
Nasa,4
karna,13
xxix,2
dacdha,2
VJl,2
cll,2
Dagdha,6
Durdagdha,9
atidagdha,6
dagdha,40
Tuccha,7
cauterv,3
tuccha,6
durdagdha,9
Trpatmpnt,3
Cll,2
tV,2
ll,126
lcl,5
lltl,2
enuinment,2
renuired,2
questions,6
slokas,3
weights,12
prakrti,38
Srsti,5
Synonyms,14
Avyakta,7
Mahat,7
tattwa,3
Aharikara,3
tattwas,3
Vikrti,4
Prakrti,3
vikrti,6
Similarities,4
dissimilarities,2
purusa,9
Tantrayukti,3
Tantrayuktis,4
devices,20
tantrayuktis,13
Aprasiddha,3
sabdam,4
padam,6
Viruddham,3
oj,3
Sandigdham,3
Punaruktam,3
Nispramanam,2
Asamaptyartham,2
Anarthakam,2
Vyahatam,3
Vyakhya,3
vyakhya,59
Adhikarana,4
Prakarana,3
Krcchra,4
Phala,22
Uccitaka,2
Nyasa,3
Samasta,3
Saptavidha,3
kalpanas,5
Pradhanasya,3
Pradhanena,3
Lesa,4
Bhaksya,6
Ajna,3
Saptadasa,3
tacchilya,15
Tacchllya,2
Avayava,2
Vikara,6
Samipya,3
Bhuyastwa,3
Prakara,3
vibhava,5
Taddharmata,3
Sahacarya,4
Tadarthya,3
nimittata,9
Cesta,3
Tatsthyam,3
Adi,4
lopa,17
Madhya,6
Antalopa,3
Varnopajanana,2
Tantrasila,3
Tantrasamjna,2
Prakrtakhya,3
pratyaya,8
Paratantra,3
hetuka,5
Karya,2
karana,5
Adyanta,3
viparyaya,9
Sabdanyatwa,3
Pratyaya,2
Upanaya,4
Sambhava,4
Vibhava,3
Au,3
gh,6
ch,48
ja,5
jh,2
dh,7
ph,12
pha,5
bh,5
bha,2
ks,2
tr,6
AdHYAYA,8
Madhavanidana,2
became,23
quoting,5
references,4
Maharsi,8
discussed,59
consists,85
Hrdayam,209
Vamsa,2
rksa,3
observed,48
Simha,3
shows,21
forefathers,3
preceded,8
prayers,4
started,11
eliminating,18
sorts,19
diarrhoea,98
bows,2
prayed,3
obstacles,5
beings,61
caters,2
arranged,7
named,38
elaborated,2
atah,2
expounded,31
Ayuskamiyam,2
atha,5
fadH,2
cl,25
organs,164
exists,8
Dhari,2
Kfa,2
prevents,6
keeps,16
serves,25
FR,2
transmigrates,2
vetti,2
iti,3
aims,5
objectives,3
kama,6
moksa,3
paths,3
deeds,10
Kama,8
desires,13
selecting,6
philosophers,5
teaches,2
goals,3
teachings,3
vatarana,2
Hindus,2
Daksa,9
Gods,5
schools,4
upto,21
mortals,3
began,3
purusarthas,2
Bharadwaja,3
pleased,7
Kaya,5
Graha,3
Bhuta,7
Salakya,2
Agada,4
Aphrodisiacs,4
exchanged,2
views,9
disciples,12
Acc,3
Bharadvaja,4
Divodasa,7
Aupadhenava,3
Karavirya,3
fori,7
frT,4
ifi,2
units,5
forces,7
hich,5
existing,10
Notes,79
Ksaya,3
Samya,3
Alpa,3
dhya,3
Utkrsta,2
udana,8
vyana,12
apana,7
ranjaka,3
sadhaka,3
alocaka,3
bhrajaka,4
avalambaka,2
bodhaka,3
tarpaka,3
slesaka,3
acaryas,8
categorised,2
basing,4
pliha,13
iver,2
Laksana,3
indragopa,3
resembles,25
Kriya,4
Visarpa,9
Sira,7
vedhana,3
vitiating,4
spreads,20
rda,2
hana,17
Adhy,2
Similary,3
TT,68
Increased,17
Tridosas,2
Krura,3
Deha,5
cfl,8
uc,3
worms,56
developed,24
gT,2
kapha,43
Sitaguna,2
Visra,3
gandha,9
putrefied,8
Slaksna,6
Mrtsna,2
