IAST_normalized,ASCII
karma_sāmānyam,karma_saamaanyam
karma_viśeṣaḥ,karma_visheshah
karmabastiḥ,karmabastih
karmabhārādhvahto_pavāsamaithunādh_yayanavyāyāmacintāprasakta,karmabhaaraadhvahto_pavaasamaithunaadh_yayanavyaayaamacintaaprasakta
karmendriyam,karmendriyam
kārmuka_bījam,kaarmuka_biijam
kārmukabījaḥ,kaarmukabiijah
karṇa_arbudaḥ,karna_arbudah
karṇa_arśaḥ,karna_arshah
karṇa_gūthakaḥ,karna_guuthakah
karṇa_kaṇḍūḥ,karna_kanduuh
karṇa_kṣveḍaḥ,karna_kshvedah
karṇa_nādaḥ,karna_naadah
karṇa_pākaḥ,karna_paakah
karṇa_pratināhaḥ,karna_pratinaahah
karṇa_śophaḥ,karna_shophah
karṇa_srāvaḥ,karna_sraavah
karṇa_srotaḥ,karna_srotah
karṇa_vidradhiḥ,karna_vidradhih
karṇadhūpanam,karnadhuupanam
karṇaḥ,karnah
karṇalatikā,karnalatikaa
karṇamalaḥ,karnamalah
karṇamūlam,karnamuulam
karṇanāḍī,karnanaadii
karṇapālī,karnapaalii
karṇapālī_abhivardhana_abhyaṅgaḥ,karnapaalii_abhivardhana_abhyangah
karṇapālirogaḥ,karnapaalirogah
karṇapīṭham,karnapiitham
karṇaprakṣālanam,karnaprakshaalanam
karṇapramārjanam,karnapramaarjanam
karṇapṛṣṭham,karnaprishtham
karṇapūraṇam,karnapuuranam
karṇaputrakaḥ,karnaputrakah
karṇarogacikitsā,karnarogacikitsaa
karṇarogaḥ,karnarogah
karṇaśaṣkulikā,karnashashkulikaa
karṇaśothaḥ,karnashothah
karṇāsthi,karnaasthi
karṇaśūlaḥ,karnashuulah
karṇasvedanam,karnasvedanam
karṇāvaṭuḥ,karnaavatuh
karṇavedhanasaṁskāraḥ,karnavedhanasaṁskaarah
karṇavyadhajanyarogaḥ,karnavyadhajanyarogah
karṇavyadhanasandhāna_ayogaḥ,karnavyadhanasandhaana_ayogah
karparam,karparam
karparapācanam,karparapaacanam
karṣaḥ,karshah
karśanam,karshanam
karṣūsvedaḥ,karshuusvedah
kartā,kartaa
kartā,kartaa
kārya,kaarya
kāryadravyam,kaaryadravyam
kāryaḥ,kaaryah
kāryaphala,kaaryaphala
kāryaphalam,kaaryaphalam
kāryayoni,kaaryayoni
kāryayoniḥ,kaaryayonih
kāsaghnadhūmapānam,kaasaghnadhuumapaanam
kāsaḥ,kaasah
kaṣāya_rasaḥ,kashaaya_rasah
kaṣāyadhārā,kashaayadhaaraa
kaṣāyaḥ_(vraṇacikitsā),kashaayah_(vranacikitsaa)
kaṣāyarasa_mithyāyogaḥ,kashaayarasa_mithyaayogah
kaṣāyarasātiyogaḥ,kashaayarasaatiyogah
kaṣāyaskandhaḥ,kashaayaskandhah
kaśeruḥ,kasheruh
kaśerukā,kasherukaa
kāsīsaḥ,kaasiisah
kāṣṭhā,kaashthaa
kaṭhinaḥ,kathinah
kaṭī,katii
kaṭī_prothaḥ,katii_prothah
kaṭibastiḥ,katibastih
kaṭikapālaḥ,katikapaalah
kaṭīkataruṇam_(marma),katiikatarunam_(marma)
kaṭīpradeśaḥ,katiipradeshah
kaṭisandhiḥ,katisandhih
kaṭu_rasaḥ,katu_rasah
kaṭuavasthāpākaḥ,katuavasthaapaakah
kaṭukaskandhaḥ,katukaskandhah
kaṭurasātiyogaḥ,katurasaatiyogah
kaṭuskandhaḥ,katuskandhah
kaṭvaram,katvaram
kaṭyantram,katyantram
kauberakāyaḥ,kauberakaayah
kaumārabhṛtyam,kaumaarabhrityam
kaumārabhṛtyam,kaumaarabhrityam
kaupam,kaupam
kavala_atiyogaḥ,kavala_atiyogah
kavalacikitsāpacāraḥ,kavalacikitsaapacaarah
kavaladhāraṇam_(vraṇacikitsā),kavaladhaaranam_(vranacikitsaa)
kavalaḥ,kavalah
kavalahīnayogaḥ,kavalahiinayogah
kavalāntaram,kavalaantaram
kāyacchidram,kaayacchidram
kāyacikitsā,kaayacikitsaa
kāyacikitsā,kaayacikitsaa
kāyāgniḥ,kaayaagnih
kāyaḥ,kaayah
kāyaḥ,kaayah
kāyaḥ,kaayah
kāyasekaḥ,kaayasekah
kedārīkulyānyāyaḥ,kedaariikulyaanyaayah
keśabhūmiḥ,keshabhuumih
keśādaḥ,keshaadah
keśaḥ,keshah
keśarañjanam,kesharanjanam
keśavardhanam,keshavardhanam
keśyam,keshyam
kevalānvayi_anumānam,kevalaanvayi_anumaanam
kevalavyatireki_anumānam,kevalavyatireki_anumaanam
khaḍaḥ,khadah
khāditam,khaaditam
khalekapotanyāyaḥ,khalekapotanyaayah
khaliḥ,khalih
khallī,khallii
khalvayantram,khalvayantram
khanijaḥ,khanijah
khañjaḥ,khanjah
kharaḥ,kharah
khāriḥ,khaarih
kharparaḥ,kharparah
khaṭikā,khatikaa
khaṭvābandhaḥ,khatvaabandhah
khuḍaḥ,khudah
khuḍakaḥ,khudakah
khulakaḥ,khulakah
kīlaka,kiilaka
kīlakaḥ,kiilakah
kilāṭam,kilaatam
kīṭaviṣaḥ,kiitavishah
kiṭibhaḥ,kitibhah
kiṭṭam,kittam
klaibyam,klaibyam
klamabastivyāpat,klamabastivyaapat
klamaḥ_vamanavyāpat,klamah_vamanavyaapat
klamavirecanavyāpat,klamavirecanavyaapat
kledaka_kaphaḥ,kledaka_kaphah
kliṣṭa_vartma,klishta_vartma
kliṣṭavartma,klishtavartma
kloma,kloma
klomanāḍī,klomanaadii
kōpanam,kōpanam
korasandhiḥ,korasandhih
kośabandhaḥ,koshabandhah
kośaḥ,koshah
koṣaḥ,koshah
koṣṭha_abhighātaḥ,koshtha_abhighaatah
koṣṭhagata_śalyaḥ,koshthagata_shalyah
koṣṭhaḥ,koshthah
koṣṭhaḥ,koshthah
koṣṭhakam,koshthakam
koṣṭhakāsthi,koshthakaasthi
koṣṭhamarma,koshthamarma
koṣṭhāṅgam,koshthaangam
koṣṭhāśritakāmalā,koshthaashritakaamalaa
koṣṭhāśritavātakopaḥ,koshthaashritavaatakopah
koṭaraḥ,kotarah
koṭhaḥ,kothah
kṛcchrasādhyarogaḥ,kricchrasaadhyarogah
kṝddhabhīta_āsthāpanasya_vyāpadaḥ,krriddhabhiita_aasthaapanasya_vyaapadah
kriyākālaḥ,kriyaakaalah
kriyākalpaḥ,kriyaakalpah
kṛkalāsadaṣṭaḥ,krikalaasadashtah
kṛkāṭikā_(marma),krikaatikaa_(marma)
kṛmidantakaḥ,krimidantakah
kṝmighnakarma_(vraṇacikitsā),krrimighnakarma_(vranacikitsaa)
kṛmigranthiḥ,krimigranthih
kṛmija_śirorogaḥ,krimija_shirorogah
kṛmijachardiḥ,krimijachardih
kṛmijahṛdrogaḥ,krimijahridrogah
kṛmijapāṇḍurogaḥ,krimijapaandurogah
kṛmikarṇakaḥ,krimikarnakah
kroḍaḥ,krodah
krodhaḥ,krodhah
krodhaḥ,krodhah
krośanam,kroshanam
kroṣṭukaśīrṣaḥ,kroshtukashiirshah
kṛśarā,krisharaa
kṛṣṇa_dṛṣṭi_sandhiḥ,krishna_drishti_sandhih
kṛṣṇa_maṇḍalam,krishna_mandalam
kṛṣṇa_tārakā,krishna_taarakaa
kṛṣṇakarma_(vraṇacikitsā),krishnakarma_(vranacikitsaa)
kṛṣṇamehaḥ,krishnamehah
kṝtanastaḥ_karmaṇo_āsthāpanam,krritanastah_karmano_aasthaapanam
kṛtānnavargaḥ,kritaannavargah
kṛtarasaḥ,kritarasah
kṛtayūṣaḥ,kritayuushah
kṛtrimam,kritrimam
kṛtrimaviṣaḥ,kritrimavishah
kṛtrimaviṣam,kritrimavisham
krūra_koṣṭhaḥ,kruura_koshthah
kṣamā,kshamaa
kṣaṇam,kshanam
kṣāra_atidagdhagudaḥ,kshaara_atidagdhagudah
kṣāra_atidagdhaḥ,kshaara_atidagdhah
kṣāra_atidagdhanāsā,kshaara_atidagdhanaasaa
kṣāra_atidagdhanetram,kshaara_atidagdhanetram
kṣāra_atidagdhaśrotram,kshaara_atidagdhashrotram
kṣāra_hīnadagdhaḥ,kshaara_hiinadagdhah
kṣāraḥ,kshaarah
kṣārakarma,kshaarakarma
kṣārakarma_(vraṇacikitsā),kshaarakarma_(vranacikitsaa)
kṣārakarma_apacāraḥ,kshaarakarma_apacaarah
kṣāramehaḥ,kshaaramehah
kṣārapāna_atiyogaḥ,kshaarapaana_atiyogah
kṣārapāyanā,kshaarapaayanaa
kṣārasūtraḥ,kshaarasuutrah
kṣāravibhramaḥ,kshaaravibhramah
kṣatagudasya_virecanavyāpat,kshatagudasya_virecanavyaapat
kṣataja_oṣṭhaprakopaḥ,kshataja_oshthaprakopah
kṣatajabhagandaraḥ,kshatajabhagandarah
kṣatajadāhaḥ,kshatajadaahah
kṣatajakāsaḥ,kshatajakaasah
kṣatajaśophaḥ,kshatajashophah
kṣatajatṛṣṇā,kshatajatrishnaa
kṣatajavisarpaḥ,kshatajavisarpah
kṣatārma,kshataarma
kṣataśuklaḥ,kshatashuklah
kṣateṣu_vamanasya_vyāpadaḥ,kshateshu_vamanasya_vyaapadah
kṣatodaraḥ,kshatodarah
kṣaudram,kshaudram
kṣaudramehaḥ,kshaudramehah
kṣaudrasarpi_(vraṇacikitsā),kshaudrasarpi_(vranacikitsaa)
kṣavathuḥ,kshavathuh
kṣavathunigrahaja_udāvartaḥ,kshavathunigrahaja_udaavartah
kṣavathuvegarodhaḥ,kshavathuvegarodhah
kṣayajakāsaḥ,kshayajakaasah
kṣayajarājayakṣmā,kshayajaraajayakshmaa
kṣayajasvarabhedaḥ,kshayajasvarabhedah
kṣīṇaśukram,kshiinashukram
kṣīṇātisthūlakṛśabālavddhadur_balānāmauṣadhabalāsahatvāt,kshiinaatisthuulakrishabaalavddhadur_balaanaamaushadhabalaasahatvaat
samvṝta_koṣṭha_vamanasya_vyapadaḥ,samvrrita_koshtha_vamanasya_vyapadah
kṣipram_(marma),kshipram_(marma)
kṣipraśukramocanam,kshiprashukramocanam
kṣīra_viṣaḥ,kshiira_vishah
kṣīrāda,kshiiraada
kṣīradadhinyāyaḥ,kshiiradadhinyaayah
kṣīradhūma,kṣīradhūma
kṣīram,kshiiram
kṣīrānnādaḥ,kshiiraannaadah
kṣīrāṣṭakam,kshiiraashtakam
kṣīravargaḥ,kshiiravargah
kṣodaḥ,kshodah
kṣud_vegarodhaḥ,kshud_vegarodhah
kṣudhā,kshudhaa
kṣudhā,kshudhaa
kṣudhā,kshudhaa
kṣudhārtasya_nasya_vyāpadaḥ,kshudhaartasya_nasya_vyaapadah
kṣudrāhikkā,kshudraahikkaa
kṣudrāntram,kshudraantram
kṣudrāntrāvayavaḥ,kshudraantraavayavah
kṣudrarogaḥ,kshudrarogah
kṣudraśvāsaḥ,kshudrashvaasah
kṣunnirodhaja_udāvartaḥ,kshunnirodhaja_udaavartah
kucau,kucau
kuḍavaḥ,kudavah
kuhaṇikā,kuhanikaa
kuharam,kuharam
kukkuṭāṇḍatvak,kukkutaandatvak
kukṣigolakaḥ,kukshigolakah
kukṣiḥ,kukshih
kukūlapācanam,kukuulapaacanam
kukūṇaka,kukuunaka
kukundaraḥ_(marma),kukundarah_(marma)
kulmāṣaḥ,kulmaashah
kumārāgāram,kumaaraagaaram
kumāratantram,kumaaratantram
kumbhakāmalā,kumbhakaamalaa
kumbhikā,kumbhikaa
kumbhīkā,kumbhiikaa
kumbhīkaḥ,kumbhiikah
kumbhīsvedaḥ,kumbhiisvedah
kunakhaḥ,kunakhah
kuñcanaḥ,kuncanah
kuṇḍalam,kundalam
kūpasvedaḥ,kuupasvedah
kūpīpākaḥ,kuupiipaakah
kūrcaḥ,kuurcah
kūrcaḥ_(marma),kuurcah_(marma)
kūrcaśiraḥ_(marma),kuurcashirah_(marma)
kūrcikā,kuurcikaa
kūrparaḥ,kuurparah
kūrparasandhiḥ,kuurparasandhih
Kūrparāsthi,kuurparaasthi
kuśapatraśastram,kushapatrashastram
kuṣṭhaḥ,kushthah
kūṭaḥ,kuutah
kuṭakāsthi,kutakaasthi
kuṭhārikāśastram,kuthaarikaashastram
kuṭīprāveśikarasāyanam,kutiipraaveshikarasāyanam
kuṭīsvedaḥ,kutiisvedah
kūyakam,kuuyakam
kvāthaḥ,kvaathah
lagaṇaḥ,laganah
laghuḥ,laghuh
Laghutrayī,laghutrayii
lājā,laajaa
lājamaṇḍaḥ,laajamandah
lājapeyā,laajapeyaa
lājasaktuḥ,laajasaktuh
lajjā,lajjaa
lakṣaṇam,lakshanam
lakṣaṇam,lakshanam
lakṣaṇam,lakshanam
lākṣārasaḥ,laakshaarasah
lālāmehaḥ,laalaamehah
lalāṭam,lalaatam
lalāṭasirā,lalaatasiraa
laṅghana_apacāraḥ,langhana_apacaarah
laṅghana_atiyogaḥ,langhana_atiyogah
laṅghanam,langhanam
lasīkā,lasiikaa
latā,lataa
lauham,lauham
lavaṇa_rasaḥ,lavana_rasah
lavaṇam,lavanam
lavaṇamehaḥ,lavanamehah
lavaṇarasātiyogaḥ,lavanarasaatiyogah
lavaṇaskandhaḥ,lavanaskandhah
lehaḥ,lehah
lehaḥ_(viṣopakramaḥ),lehah_(vishopakramah)
lehanam,lehanam
lekhana_āścyotanam,lekhana_aashcyotanam
lekhanakarma,lekhanakarma
lekhanakarma,lekhanakarma
lekhanam,lekhanam
lekhanāñjana_apacāraḥ,lekhanaanjana_apacaarah
lekhanāñjana_atiyogaḥ,lekhanaanjana_atiyogah
lekhanāñjana_ayogaḥ,lekhanaanjana_ayogah
lekhanāñjanam,lekhanaanjanam
lekhanapuṭapākaḥ,lekhanaputapaakah
lekhanasekaḥ,lekhanasekah
lekhanātiyogaḥ,lekhanaatiyogah
lekhanāyogaḥ,lekhanaayogah
lekhyarogaḥ,lekhyarogah
lelihaḥ,lelihah
lepaḥ,lepah
lepaḥ_(viṣopakramaḥ),lepah_(vishopakramah)
līḍham,liidham
likṣā,likshaa
līnadoṣāvasthā,liinadoshaavasthaa
liṅga,linga
liṅgaḥ,lingah
liṅgam,lingam
liṅganāśaḥ,linganaashah
liṅganāśamithyāvedhanam,linganaashamithyaavedhanam
liṅgaśarīram,lingashariiram
lobhaḥ,lobhah
loḍharaḥ,lodharah
lohaḥ,lohah
lohitā,lohitaa
lohitakā,lohitakaa
lohitākṣaḥ_(marma),lohitaakshah_(marma)
lohitamehaḥ,lohitamehah
lohitārma,lohitaarma
lohitārśaḥ,lohitaarshah
Lohitikā,lohitikaa
loma,loma
lomādaḥ,lomaadah
lomadvīpaḥ,lomadviipah
lomakūpamalaḥ,lomakuupamalah
lomāpaharaṇam,lomaapaharanam
lomavidhvaṃsaḥ,lomavidhvamsah
lūtāviṣaḥ,luutaavishah
madaḥ,madah
madaḥ,madah
madakārī,madakaarii
madanātapatram,madanaatapatram
madātyayaḥ,madaatyayah
madātyayita_virecanavyāpat,madaatyayita_virecanavyaapat
mādhavanidāna,maadhavanidāna
madhukroḍaḥ,madhukrodah
madhumeha_kuṣṭhinorvyādheḥ_āsthāpanasya_vyāpadaḥ,madhumeha_kushthinorvyaadheh_aasthaapanasya_vyaapadah
madhumehaḥ,madhumehah
madhura_rasaḥ,madhura_rasah
madhurarasātiyogaḥ,madhurarasaatiyogah
madhuraskandhaḥ,madhuraskandhah
madhurāvasthāpākaḥ,madhuraavasthaapaakah
mādhutailikabastiḥ,maadhutailikabastih
madhuvargaḥ,madhuvargah
madhyabhaktaḥ,madhyabhaktah
madhyabhojanam,madhyabhojanam
madhyamā,madhyamaa
madhyama_koṣṭhaḥ,madhyama_koshthah
madhyamadhūmapānam,madhyamadhuumapaanam
madhyamagatiḥ,madhyamagatih
madhyamaśuddhiḥ,madhyamashuddhih
madyajamadaḥ,madyajamadah
madyajamūrcchā,madyajamuurcchaa
madyapānātiyogaḥ,madyapaanaatiyogah
madyavargaḥ,madyavargah
mahāgudā,mahaagudaa
mahāguṇaḥ,mahaagunah
mahānimnam,mahaanimnam
mahāpadmaḥ,mahaapadmah
mahārasaḥ,mahaarasah
mahāśauṣiraḥ,mahaashaushirah
mahāsrotas,mahaasrotas
mahāśvāsaḥ,mahaashvaasah
mahat,mahat
mahatīhikkā,mahatiihikkaa
mahatsrotaḥ,mahatsrotah
mahāviṣam,mahaavisham
māhendrakāyaḥ,maahendrakaayah
maithunāpacāram,maithunaapacaaram
maithunāśaktiḥ,maithunaashaktih
majjā_dhātuḥ,majjaa_dhaatuh
majjādhātugatajvaraḥ,majjaadhaatugatajvarah
majjādhātvagniḥ,majjaadhaatvagnih
majjādhātvagniḥ,majjaadhaatvagnih
majjāgatamasūrikā,majjaagatamasuurikaa
majjāgatavātaḥ,majjaagatavaatah
majjākṣayaḥ,majjaakshayah
majjāmehaḥ,majjaamehah
majjasāraḥ,majjasaarah
majjāvahasrotas,majjaavahasrotas
majjāvahasrotoduṣṭiḥ,majjaavahasrotodushtih
majjāvaiṣamyam,majjaavaishamyam
majjāvṛddhiḥ,majjaavriddhih
makerukaḥ,makerukah
makṣikā_daṣṭaḥ,makshikaa_dashtah
mākṣikam,maakshikam
mākṣikam,maakshikam
malādhāraḥ,malaadhaarah
malaḥ,malah
malavaiṣamyam,malavaishamyam
māṃsa_dhātuḥ,maamsa_dhaatuh
māṃsa_sāraḥ,maamsa_saarah
māṃsadharā,maamsadharaa
māṃsadharākalā,maamsadharaakalaa
māṃsadhātugatajvaraḥ,maamsadhaatugatajvarah
māṃsadhātvagniḥ,maamsadhaatvagnih
māṃsagata_śalyaḥ,maamsagata_shalyah
māṃsagatamasūrikā,maamsagatamasuurikaa
māṃsagatavātaḥ,maamsagatavaatah
māṃsāgni,maamsaagni
māṃsaja_oṣṭhaprakopaḥ,maamsaja_oshthaprakopah
māṃsajālam,maamsajaalam
māṃsajārbudaḥ,maamsajaarbudah
māṃsakṣayaḥ,maamsakshayah
māṃsam,maamsam
māṃsamarma,maamsamarma
māṃsapākaḥ,maamsapaakah
māṃsarajjuḥ,maamsarajjuh
māṃsarasaḥ,maamsarasah
māṃsārbudaḥ,maamsaarbudah
māṃsasaṅghātaḥ,maamsasanghaatah
māṃsatānaḥ_(arbudaḥ),maamsataanah_(arbudah)
māṃsavahasrotas,maamsavahasrotas
māmsavahasrotoduṣṭiḥ,maamsavahasrotodushtih
māmsavahasrotoviddhaḥ,maamsavahasrotoviddhah
māṃsavaiṣamyam,maamsavaishamyam
māṃsavargaḥ,maamsavargah
māṃsavṛddhiḥ,maamsavriddhih
manaḥ,manah
manaḥśilā,manahshilaa
mānam,maanam
mānasaklaibyam,maanasaklaibyam
mānasaprakṛti,maanasaprakriti
mānasika_bhāvaḥ,maanasika_bhaavah
mānasikahetuḥ,maanasikahetuh
mandāgni_durbalayora_anuvāsanasya_vyāpadaḥ,mandaagni_durbalayora_anuvaasanasya_vyaapadah
mandāgniḥ,mandaagnih
mandāgniḥ,mandaagnih
mandaḥ,mandah
maṇḍaḥ,mandah
maṇḍalabandhaḥ,mandalabandhah
maṇḍalāgraśastram,mandalaagrashastram
maṇḍalakuṣṭhaḥ,mandalakushthah
maṇḍalam,mandalam
maṇḍalasandhiḥ,mandalasandhih
maṇḍūkadaṣṭaḥ,manduukadashtah
maṇḍūram,manduuram
maṅgalam,mangalam
maṇibandhaḥ,manibandhah
maṇidhāraṇam,manidhaaranam
maṇiḥ,manih
mānikā,maanikaa
māṇikyam,maanikyam
mañjiṣṭhāmehaḥ,manjishthaamehah
manoarthaḥ,manoarthah
manodhiśṭānam,manodhishtaanam
manoguṇaḥ,manogunah
manthanam,manthanam
mantracikitsā,mantracikitsaa
mantraḥ_(viṣopakramaḥ),mantrah_(vishopakramah)
mānuṣīcikitsā,maanushiicikitsaa
manyā,manyaa
manyā_(marma),manyaa_(marma)
manyābastiḥ,manyaabastih
manyāstambhaḥ,manyaastambhah
maraṇam,maranam
māraṇam,maaranam
mardanam,mardanam
mardanam,mardanam
mardanam,mardanam
mārgaviśodhanam,maargavishodhanam
marma,marma
marmābhighātaḥ,marmaabhighaatah
marmābhighātajadāhaḥ,marmaabhighaatajadaahah
marmakṣataḥ,marmakshatah
marmarikā,marmarikaa
marmarikā,marmarikaa
marmaviddhaḥ,marmaviddhah
marśaḥ,marshah
mārutaḥ,maarutah
māsaḥ,maasah
māṣaḥ,maashah
māṣaḥ(bīja),maashah(biija)
maśaka_daṣṭaḥ,mashaka_dashtah
maṣakaḥ,mashakah
mastakabālaḥ,mastakabaalah
mastakam,mastakam
mastakamajjā,mastakamajjaa
mastakasnehaḥ,mastakasnehah
mastiṣkaḥ,mastishkah
mastuluṅgaḥ,mastulungah
masūrikā,masuurikaa
masūrikā_pramehapiḍakā,masuurikaa_pramehapidakaa
masūrikāpūrvarūpam,masuurikaapuurvaruupam
mathitaḥ,mathitah
mātrā,maatraa
mātrābastiḥ,maatraabastih
mātṛjarogaḥ,maatrijarogah
mātṛkā_(marma),maatrikaa_(marma)
mātsaryam,maatsaryam
matsyakāyaḥ,matsyakaayah
matta_mūrcchitayora_āsthāpanasya_vyāpadaḥ,matta_muurcchitayora_aasthaapanasya_vyaapadah
mayūrāsthi,mayuuraasthi
medaḥkṣayaḥ,medahkshayah
medajarohiṇī,medajarohinii
medasāśritaṃpaṭalam,medasaashritampatalam
meḍhracarma,medhracarma
meḍhradvāram,medhradvaaram
meḍhrāgram,medhraagram
meḍhraḥ,medhrah
meḍhrarogajaklaibyam,medhrarogajaklaibyam
medhyarasāyanam,medhyarasaayanam
medhyāyuṣyakāmīyara_sāyanam,medhyaayushyakaamiiyara_saayanam
medo_agni,medo_agni
medo_dhātuḥ,medo_dhaatuh
medodharākalā,medodharaakalaa
medodhātugatajvaraḥ,medodhaatugatajvarah
medodhātvagniḥ,medodhaatvagnih
medogatamasūrikā,medogatamasuurikaa
medogatavātaḥ,medogatavaatah
medoja_galagaṇḍaḥ,medoja_galagandah
medoja_oṣṭhaprakopaḥ,medoja_oshthaprakopah
medoja_vṛddhiḥ,medoja_vriddhih
medojagranthiḥ,medojagranthih
medojasvarabhedaḥ,medojasvarabhedah
medorogaḥ,medorogah
medosāraḥ,medosaarah
medovahasrotas,medovahasrotas
medovahasrotoduṣṭiḥ,medovahasrotodushtih
medovahasrotoviddhaḥ,medovahasrotoviddhah
medovaiṣamyam,medovaishamyam
medovṛddhiḥ,medovriddhih
minminaḥ,minminah
mithyāsnehanam,mithyaasnehanam
mithyāvirecanam,mithyaavirecanam
mithyāvraṇopacāraḥ,mithyaavranopacaarah
mithyāvyavāyam,mithyaavyavaayam
mohaḥ,mohah
mokṣaḥ,mokshah
mṛdbhakṣaṇajanya,mridbhakshanajanya
mṛddāraśrṛṃgaḥ,mriddaarashrrimgah
mṛditaḥ,mriditah
mṛdudhūmapānam,mridudhuumapaanam
mṛduḥ,mriduh
mṛdukarma,mridukarma
mṛdukoṣṭhaḥ,mridukoshthah
mṛgaśrṛṃgam,mrigashrrimgam
mṛtagarbhaḥ,mritagarbhah
mṛtasañjīvanam_(viṣopakrama),mritasanjiivanam_(vishopakrama)
mūḍhagarbhaḥ,muudhagarbhah
mudrikāśastram,mudrikaashastram
muhurmuhuḥ,muhurmuhuh
muhūrtaḥ,muhuurtah
mūkatvam,muukatvam
mukha_viśodhana,mukha_vishodhana
mukhadūṣikā,mukhaduushikaa
mukhagandhaharaḥ,mukhagandhaharah
mukhakuharam,mukhakuharam
mukham,mukham
mukhamaṇḍikāgrahaḥ,mukhamandikaagrahah
mukharogacikitsā,mukharogacikitsaa
mukharogaḥ,mukharogah
muktanāla_virecanavyāpat,muktanaala_virecanavyaapat
muktāphalam,muktaaphalam
mūlaviṣaḥ,muulavishah
mūrcchā,muurcchaa
mūrcchā_pūrvarūpam,muurcchaa_puurvaruupam
mūrcchanam,muurcchanam
mūrcchanam,muurcchanam
mūrdhā,muurdhaa
mūrdhatailam,muurdhatailam
mūrtadravya,muurtadravya
mūṣā,muushaa
mūṣikāviṣaḥ,muushikaavishah
muṣkaḥ,mushkah
muṣkasroto_abhighātaḥ,mushkasroto_abhighaatah
mūtra_vegarodhaḥ,muutra_vegarodhah
mūtrābhighātaja_udāvartaḥ,muutraabhighaataja_udaavartah
mūtrāghāta_vamanasya_vyāpadaḥ,muutraaghaata_vamanasya_vyaapadah
mūtrāghātaḥ,muutraaghaatah
mūtragrahaḥ,muutragrahah
mūtragranthiḥ,muutragranthih
mūtraja_vṛddhiḥ,muutraja_vriddhih
mūtrajananam,muutrajananam
mūtrajaṭharaḥ,muutrajatharah
mūtrakṛcchram,muutrakricchram
mūtrakṣayaḥ,muutrakshayah
mūtrakṣayaḥ,muutrakshayah
mūtram,muutram
mūtramārgaḥ,muutramaargah
mūtrapathaḥ,muutrapathah
mūtrapraseka_kṣaṇanam,muutrapraseka_kshananam
mūtrāśayaḥ,muutraashayah
mūtrasekaḥ,muutrasekah
mūtraśukraḥ,muutrashukrah
mūtrātītaḥ,muutraatiitah
mūtraukasādaḥ,muutraukasaadah
mūtravahā,muutravahaa
mūtravahānāḍī,muutravahaanaadii
mūtravahasrotas,muutravahasrotas
mūtravahasrōtōduṣṭiḥ,muutravahasrōtōdushtih
mūtravahasrotoviddhaḥ,muutravahasrotoviddhah
mūtravaiṣamyam,muutravaishamyam
mūtravasti,muutravasti
mūtravṛddhiḥ,muutravriddhih
mūtrotsaṅgaḥ,muutrotsangah
muttoliḥ,muttolih
nābhibandhanam,naabhibandhanam
nābhiḥ,naabhih
nābhikalpanavidhi,naabhikalpanavidhi
nābhimaṇḍalam,naabhimandalam
nābhināḍī,naabhinaadii
nābhinālapatanam,naabhinaalapatanam
nābhipradeśaḥ,naabhipradeshah
nādeya_udakam,naadeya_udakam
nāḍikā,naadikaa
nāḍīsvedaḥ,naadiisvedah
nāḍīvraṇaḥ,naadiivranah
nāḍīyantram,naadiiyantram
nāgam,naagam
nāgapāṣāṇam,naagapaashaanam
naigameṣagrahaḥ,naigameshagrahah
naimittikarasāyanam,naimittikarasaayanam
naiṣṭhikīcikitsā,naishthikiicikitsaa
nakha_māṃsam,nakha_maamsam
nakha_sandhiḥ,nakha_sandhih
nakhaḥ,nakhah
nakhaśastram,nakhashastram
nakulāndhyam,nakulaandhyam
nalakāsthi,nalakaasthi
nālam,naalam
nāmakaraṇasaṁskāraḥ,naamakaranasaṁskaarah
nānātmajavikāra,naanaatmajavikaara
napumsakatvam,napumsakatvam
naraṣaṇḍaḥ,narashandah
narasāraḥ,narasaarah
nārīṣaṇḍaḥ,naariishandah
nāsā,naasaa
nāsā_atidagdhaḥ,naasaa_atidagdhah
nāsāgram,naasaagram
nāsākṣi_sandhiḥ,naasaakshi_sandhih
nāsānāḍī,naasaanaadii
nāsāpākaḥ,naasaapaakah
nāsāpuṭa_bahirbhāgaḥ,naasaaputa_bahirbhaagah
nāsāpuṭam,naasaaputam
nāsārandhram,naasaarandhram
nāsārbudaḥ,naasaarbudah
nāsārogacikitsā,naasaarogacikitsaa
nāsārogaḥ,naasaarogah
nāsārśaḥ,naasaarshah
nāsāsandhānavidhiḥ,naasaasandhaanavidhih
nāsāśoṣaḥ,naasaashoshah
nāsāsrāvaḥ,naasaasraavah
nāsāsrotaḥ,naasaasrotah
nāsāsthidaṇḍaḥ,naasaasthidandah
nāsātaruṇāsthi,naasaatarunaasthi
nāsāvaṃśaḥ,naasaavamshah
nāsāvivaram,naasaavivaram
nāsikā,naasikaa
nāsikāmalaḥ,naasikaamalah
nāsikāpuṭam,naasikaaputam
nastam,nastam
nasyakarmacikitsāpacāraḥ,nasyakarmacikitsaapacaarah
nasyam,nasyam
nasyam_(viṣopakramaḥ),nasyam_(vishopakramah)
Nasyam_(vraṇacikitsā),nasyam_(vranacikitsaa)
nasyamithyāyogaḥ,nasyamithyaayogah
nasyātiyogaḥ,nasyaatiyogah
