IAST_normalized,ASCII
antaḥkaraṇam,antahkaranam
antaḥkoṣṭhaḥ,antahkoshthah
antaḥkukṣiḥ,antahkukshih
antaḥpuṣpam,antahpushpam
antarabhaktam,antarabhaktam
antarādhiḥ,antaraadhih
Antarbahirvibhāgaḥ,antarbahirvibhaagah
antargalaḥ,antargalah
āntarikṣa_jalam,aantariksha_jalam
āntarikṣa_udakam,aantariksha_udakam
antarmukhaśastram,antarmukhashastram
antarmukhasrotaḥ,antarmukhasrotah
antarvegajvaraḥ,antarvegajvarah
antaścetana,antashcetana
antaścetanaḥ,antashcetanah
antra_vṛddhiḥ,antra_vriddhih
antrādaḥ,antraadah
āntrālajī,aantraalajii
antram,antram
āntram,aantram
antrāśayaḥ,antraashayah
anubandha,anubandha
anubandhaḥ,anubandhah
anubandhaḥ,anubandhah
anubandhaḥ,anubandhah
anubandhyaḥ,anubandhyah
anulōmanam,anulōmanam
anumānam,anumaanam
anumataḥ,anumatah
anumitiḥ,anumitih
anupakrama,anupakrama
anupānam,anupaanam
anupaśayaḥ,anupashayah
anurasaḥ,anurasah
anuśastram,anushastram
anuśastravisrāvaṇam,anushastravisraavanam
anuśayī,anushayii
aṇutva,anutva
anuvāsana_mityāyogaḥ,anuvaasana_mityaayogah
"anuvāsana/_sneha_basti_karma_cikitsāpacāra,_sneha_basti_vyāpad","anuvaasana/_sneha_basti_karma_cikitsaapacaara,_sneha_basti_vyaapad"
anuvāsanabastiḥ,anuvaasanabastih
anuvāsanātiyoga,anuvaasanaatiyoga
anuvāsanavastyayoga,anuvaasanavastyayoga
anuvāsitasya_nasya_vyāpadaḥ,anuvaasitasya_nasya_vyaapadah
anuvellitabandhaḥ,anuvellitabandhah
anuyogaḥ,anuyogah
anuyojyam,anuyojyam
aṇvasthi,anvasthi
aṇvasthi,anvasthi
anyadhātūpahitaśukradoṣaḥ,anyadhaatuupahitashukradoshah
anyatovātaḥ,anyatovaatah
anyedyuṣkaviṣamajvaraḥ,anyedyushkavishamajvarah
anyonyābhāvaḥ,anyonyaabhaavah
apacī,apacii
apadeśaḥ,apadeshah
āpaḥ,aapah
apakarṣaṇam,apakarshanam
apalāpaḥ_(marma),apalaapah_(marma)
apānaḥ,apaanah
apānavātakopaḥ,apaanavaatakopah
apāṅgadeśaḥ,apaangadeshah
apāṅgaḥ,apaangah
apāṅgasandhiḥ,apaangasandhih
aparā,aparaa
aparatvam,aparatvam
aparihārasevanam,aparihaarasevanam
apariklinnavartma,apariklinnavartma
apasmāraḥ,apasmaarah
apastambhaḥ_(marma),apastambhah_(marma)
apatānakaḥ,apataanakah
apatantrakaḥ,apatantrakah
apatarpaṇakarma_(vraṇacikitsā),apatarpanakarma_(vranacikitsaa)
apatarpaṇam,apatarpanam
apathyam,apathyam
apatyamārgaḥ,apatyamaargah
apatyapathaḥ,apatyapathah
apavargaḥ,apavargah
apīnasaḥ,apiinasah
